
DPS Ranking:
111749061 100.0%  Raid
  TMI: 1709153.2  TMI-error=3194.1/0.2%  TMI-min=1245962.5  TMI-max=2531587.9 
  Origin: https://us.api.battle.net/wow/character/wyrmrest-accord/vorem/advanced
  Talents: http://us.battle.net/wow/en/tool/talent-calculator#Ub!0010210
  Artifact: 57:0:0:0:0:948:3:949:3:950:3:951:3:952:3:953:3:954:3:955:3:956:3:957:1:958:1:959:1:960:1:961:1:962:1:979:1:1334:1:1366:20
  Core Stats:    strength=4726|4401(4401)  agility=32695|31070(31070)  stamina=15837|15837(10604)  intellect=7651|7326(7326)  spirit=0|0(0)  health=950220|1068000  mana=704000|704000
  Generic Stats: mastery=12.40%|12.40%(6716)  versatility=15.73%|14.94%(7095)  leech=0.00%|0.00%(0)  runspeed=10.15%|8.05%(0)
  Spell Stats:   power=48960|46527(0)  hit=15.00%|15.00%(0)  crit=26.87%|26.87%(6748)  haste=16.00%|16.00%(6000)  speed=16.00%|16.00%  manareg=0|0(0)
  Attack Stats:  power=40800|38772(0)  hit=7.50%|7.50%(0)  crit=26.87%|26.87%(6748)  expertise=7.50%/7.50%|7.50%/7.50%(0)  haste=16.00%|16.00%(6000)  speed=16.00%|16.00%
  Defense Stats: armor=0|0(0) miss=3.00%|3.00%  dodge=26.89%|26.22%(0)  parry=0.00%|0.00%(0)  block=0.00%|0.00%(0) crit=0.00%|0.00%  versatility=7.86%|7.47%(7095)
  Priorities (actions.precombat):
    flask,type=flask_of_the_seventh_demon/food,type=seedbattered_fish_plate
    augmentation,type=defiled/cat_form/prowl/snapshot_stats/potion,name=old_war
  Priorities:
    auto_attack/use_item,slot=trinket1
    potion,name=old_war,if=buff.rage_of_the_sleeper.up
    call_action_list,name=cat,if=(cooldown.thrash_bear.remains>0&cooldown.mangle.remains>0&buff.rage_of_the_sleeper.down&buff.incarnation.down&buff.galactic_guardian.down)|(buff.cat_form.up&energy>20)|(dot.rip.ticking&dot.rip.remains<3&target.health.pct<25)
    call_action_list,name=bear
  Priorities (actions.bear):
    bear_form/incarnation/barkskin,if=talent.brambles.enabled
    berserking,if=buff.rage_of_the_sleeper.up
    moonfire,if=!dot.moonfire.ticking&(talent.incarnation.enabled|talent.soul_of_the_forest.enabled)
    lunar_beam,if=(dot.rip.remains>10&buff.bear_form.up)
    rage_of_the_sleeper,if=(dot.rip.remains>10&buff.bear_form.up)
    thrash_bear,if=(buff.incarnation.up=1&dot.thrash_bear.remains<=2)|talent.rend_and_tear.enabled&dot.thrash_bear.stack<3|talent.rend_and_tear.enabled&equipped.137067&dot.thrash_bear.stack<5|equipped.137056
    maul/mangle/thrash_bear/moonfire,if=buff.galactic_guardian.up/swipe_bear
  Priorities (actions.cat):
    dash,if=buff.cat_form.down/cat_form,if=buff.cat_form.down
    ferocious_bite,if=(combo_points>3&target.time_to_die<3)|(combo_points=5&energy>=50&dot.rip.remains>10)|(dot.rip.ticking&target.health.pct<25&combo_points=5&energy>=50)|(dot.rip.ticking&dot.rip.remains<3&target.health.pct<25)
    rip,if=(!dot.rip.ticking&combo_points=5)|(dot.rip.remains<8&combo_points=5)
    shadowmeld,if=dot.rake.remains<8
    rake,if=dot.rake.remains<8|(combo_points=4&time<10)/shred
  Actions:
    barkskin                     Count=  4.0| 84.35sec  DPE= 219402| 0%  DPET=      0  DPR=   0.0  pDPS=    0
    bear_form                    Count= 23.0| 13.11sec  DPE=      0| 0%  DPET=      0  DPR=   0.0  pDPS=    0
    bear_melee                   Count= 97.8|  3.03sec  DPE=  49556| 4%  DPET=  23889  DPR=   0.0  pDPS=16181  Miss=0.00%  Hit=38734|26548|47408  Crit=79034|54158|96712|26.9%
    brambles                     Count=231.3|  1.29sec  DPE=   9792|22%  DPET=      0  DPR=   0.0  pDPS= 7558  Miss=0.00%  Hit=9792|9792|9792
    brambles_pulse               Count=  0.0|  0.00sec  DPE=      0| 1%  DPET=      0  DPR=   0.0  pDPS= 2914  Miss=0.00%  Hit=13534|13258|16573  Crit=27616|27047|33809|26.9%
    brambles_reflect             Count=231.3|  1.29sec  DPE=  19388| 4%  DPET=      0  DPR=   0.0  pDPS=14965  Miss=0.00%  Hit=15152|14731|18414  Crit=30909|30052|37565|26.9%
    cat_form                     Count= 21.4| 13.64sec  DPE=      0| 0%  DPET=      0  DPR=   0.0  pDPS=    0
    cat_melee                    Count=117.1|  2.54sec  DPE=  37067| 4%  DPET=  44867  DPR=   0.0  pDPS=14501  Miss=0.00%  Hit=29659|21239|30341  Crit=60503|43327|61895|26.9%  Parry=3.0%
    dash                         Count=  2.0|186.91sec  DPE=      0| 0%  DPET=      0  DPR=   0.0  pDPS=    0
    ferocious_bite               Count=  4.2| 44.10sec  DPE= 508475| 2%  DPET= 506210  DPR=   0.0  pDPS= 7186  Miss=0.00%  Hit=410042|64974|464098  Crit=836554|132546|946760|26.1%  Parry=3.1%
    gaseous_bubble               Count=  5.4| 60.05sec  DPE= 377474| 2%  DPET=      0  DPR=   0.0  pDPS= 6860  Miss=0.00%  Hit=295260|287682|359603  Crit=601929|586872|733590|26.8%
    leech                        Count=200.3|  1.85sec  DPE=  35863|69%  DPET=      0  DPR=   0.0  pDPS=24038  Miss=0.00%  Hit=35863|  21|212240
    mangle                       Count= 44.7|  6.61sec  DPE= 258631|10%  DPET= 206392  DPR=   0.0  pDPS=38629  Miss=0.00%  Hit=202102|132505|245896  Crit=412092|270311|501627|26.9%
    maul                         Count= 65.5|  4.49sec  DPE=  55130| 3%  DPET=      0  DPR=2756.5  pDPS=12056  Miss=0.00%  Hit=40139|26227|48671  Crit=81856|53504|99290|35.9%
    moonfire                     Count= 36.0|  8.15sec  DPE= 731723|22%  DPET= 584425  DPR=   0.0  pDPS=87941  Miss=0.00%  Hit=102216|48129|255083  Crit=208436|98183|520369|26.9%  TickCount=177  MissTick=0.0%  Tick=48556|164|59048  CritTick=99050|56|120458|26.9%  UpTime=98.3%
    natures_guardian             Count=200.2|  1.85sec  DPE=   4439| 9%  DPET=      0  DPR=   0.0  pDPS= 2975  Miss=0.00%  Hit=4439|   3|26307
    potion                       Count=  2.0|  0.00sec  DPE=      0| 0%  DPET=      0  DPR=   0.0  pDPS=    0
    potion_of_the_old_war        Count= 23.4|  6.33sec  DPE= 234861| 5%  DPET=      0  DPR=   0.0  pDPS=18617  Miss=0.00%  Hit=185803|121709|217337  Crit=379284|248286|443367|26.4%  Parry=1.1%
    rage_of_the_sleeper          Count=  3.5| 96.69sec  DPE=      0| 0%  DPET=      0  DPR=   0.0  pDPS=    0
    rage_of_the_sleeper_reflect  Count= 26.4|  9.63sec  DPE= 172637| 4%  DPET=      0  DPR=   0.0  pDPS=15235  Miss=0.00%  Hit=172637|172637|172637
    rake                         Count= 21.0| 14.82sec  DPE= 623599|11%  DPET= 620829  DPR=   0.0  pDPS=43820  Miss=0.00%  Hit=86931|56429|161226  Crit=177389|115116|328901|26.1%  Parry=3.0%  TickCount=96  MissTick=0.0%  Tick=88596|28|170900  CritTick=180796|116|348636|26.9%  UpTime=94.1%
    rip                          Count=  9.3| 25.80sec  DPE=1387410|11%  DPET=1381326  DPR=   0.0  pDPS=43279  Miss=0.00%  Parry=100.0%  TickCount=135  MissTick=0.0%  Tick=75046|2332|91090  CritTick=153105|3865|185824|26.9%  UpTime=90.0%
    shred                        Count= 47.8|  6.23sec  DPE= 194319| 8%  DPET= 193450  DPR=   0.0  pDPS=31035  Miss=0.00%  Hit=156554|106278|160935  Crit=319235|216807|328308|26.1%  Parry=3.0%
    swipe_bear                   Count=  5.6| 47.81sec  DPE= 121654| 1%  DPET= 102305  DPR=   0.0  pDPS= 2272  Miss=0.00%  Hit=95143|65667|97489  Crit=194163|133961|198878|26.8%
    thrash_bear                  Count= 35.4|  8.40sec  DPE= 323242|10%  DPET= 259035  DPR=   0.0  pDPS=38227  Miss=0.00%  Hit=167293|107474|203434  Crit=341205|219248|415005|26.9%  TickCount=97  MissTick=0.0%  Tick=31005|1760|38380  CritTick=63255|3194|78295|26.9%  UpTime=97.6%
  Constant Buffs: defiled_augmentation/flask_of_the_seventh_demon/seedbattered_fish_plate
  Dynamic Buffs:
    barkskin              : start= 4.0 refresh=  0.0 interval= 84.3 trigger= 84.3 uptime=17.48%  benefit=18%
    bear_form             : start=23.0 refresh=  0.0 interval= 13.1 trigger= 13.1 uptime=62.18%  benefit=62%
    bloodlust             : start= 1.0 refresh=  0.0 interval=  0.0 trigger=  0.0 uptime=13.56%  benefit=43%
    cat_form              : start=23.4 refresh=  0.0 interval= 13.1 trigger= 13.2 uptime=37.82%  benefit=38%
    dash                  : start= 2.0 refresh=  0.0 interval=186.9 trigger=186.9 uptime=10.17%  benefit=10%
    galactic_guardian     : start=36.5 refresh= 44.6 interval=  8.2 trigger=  3.6 uptime=53.11%
    gaseous_bubble        : start= 5.5 refresh=  0.0 interval= 60.4 trigger= 60.4 uptime= 2.03%
    gory_fur              : start= 1.0 refresh=  5.7 interval=  0.0 trigger= 38.2 uptime=86.22%  benefit=86%
    guardian_of_elune     : start= 1.0 refresh= 43.7 interval=237.0 trigger=  6.6 uptime=97.71%  benefit=98%
    mangle                : start=15.3 refresh=  0.0 interval= 18.4 trigger= 18.4 uptime= 6.65%  benefit=34%
    potion_of_the_old_war : start= 2.0 refresh=  0.0 interval=113.7 trigger=  0.0 uptime=16.27%  benefit=16%
    prowl                 : start= 1.0 refresh=  0.0 interval=  0.0 trigger=  0.0 uptime= 0.00%  benefit= 1%
    rage_of_the_sleeper   : start= 3.5 refresh=  0.0 interval= 96.7 trigger= 96.7 uptime=11.38%  benefit=11%
  Procs:
     15.4 |  18.36sec : gore
  Gains:
    7181221.6 : leech             (health)
    2264787.9 : brambles          (health)
    888919.0 : natures_guardian  (health)
       459.9 : bear_form         (rage)
       770.1 : bear_melee        (rage)
       141.7 : thrash_bear       (rage)
       284.8 : mangle            (rage)
        20.2 : rake              (combo_points)  (overflow=1.2%)
        45.8 : shred             (combo_points)  (overflow=1.2%)
      3031.1 : energy_regen      (energy)  (overflow=37.8%)
        72.8 : energy_refund     (energy)
       288.0 : galactic_guardian (rage)
  Waiting: 0.00%
Player: Giant_Ornamental_Pearl_885 tauren druid guardian 110
  DPS: 394063.2  DPS-Error=156.4/0.040%  DPS-Range=30092/7.6%  DPS-Convergence=68.8%
  HPS: 27039.2 HPS-Error=46.8/0.2%
  DPR=61439.9  RPS-Out=6.4 RPS-In=6.4  Resource=(rage) Waiting=0.0 ApM=66.1
  DTPS: 1919174.3  DTPS-error=1347.7/0.1% 
  TMI: 1715651.9  TMI-error=3286.8/0.2%  TMI-min=1279576.1  TMI-max=2771312.0 
  Origin: https://us.api.battle.net/wow/character/wyrmrest-accord/vorem/advanced
  Talents: http://us.battle.net/wow/en/tool/talent-calculator#Ub!0010210
  Artifact: 57:0:0:0:0:948:3:949:3:950:3:951:3:952:3:953:3:954:3:955:3:956:3:957:1:958:1:959:1:960:1:961:1:962:1:979:1:1334:1:1366:20
  Core Stats:    strength=4726|4401(4401)  agility=32695|31070(31070)  stamina=15837|15837(10604)  intellect=7651|7326(7326)  spirit=0|0(0)  health=950220|1068000  mana=704000|704000
  Generic Stats: mastery=12.40%|12.40%(6716)  versatility=15.77%|14.98%(7116)  leech=0.00%|0.00%(0)  runspeed=10.15%|8.05%(0)
  Spell Stats:   power=48960|46527(0)  hit=15.00%|15.00%(0)  crit=26.87%|26.87%(6748)  haste=16.00%|16.00%(6000)  speed=16.00%|16.00%  manareg=0|0(0)
  Attack Stats:  power=40800|38772(0)  hit=7.50%|7.50%(0)  crit=26.87%|26.87%(6748)  expertise=7.50%/7.50%|7.50%/7.50%(0)  haste=16.00%|16.00%(6000)  speed=16.00%|16.00%
  Defense Stats: armor=0|0(0) miss=3.00%|3.00%  dodge=26.89%|26.22%(0)  parry=0.00%|0.00%(0)  block=0.00%|0.00%(0) crit=0.00%|0.00%  versatility=7.89%|7.49%(7116)
  Priorities (actions.precombat):
    flask,type=flask_of_the_seventh_demon/food,type=seedbattered_fish_plate
    augmentation,type=defiled/cat_form/prowl/snapshot_stats/potion,name=old_war
  Priorities:
    auto_attack/use_item,slot=trinket1
    potion,name=old_war,if=buff.rage_of_the_sleeper.up
    call_action_list,name=cat,if=(cooldown.thrash_bear.remains>0&cooldown.mangle.remains>0&buff.rage_of_the_sleeper.down&buff.incarnation.down&buff.galactic_guardian.down)|(buff.cat_form.up&energy>20)|(dot.rip.ticking&dot.rip.remains<3&target.health.pct<25)
    call_action_list,name=bear
  Priorities (actions.bear):
    bear_form/incarnation/barkskin,if=talent.brambles.enabled
    berserking,if=buff.rage_of_the_sleeper.up
    moonfire,if=!dot.moonfire.ticking&(talent.incarnation.enabled|talent.soul_of_the_forest.enabled)
    lunar_beam,if=(dot.rip.remains>10&buff.bear_form.up)
    rage_of_the_sleeper,if=(dot.rip.remains>10&buff.bear_form.up)
    thrash_bear,if=(buff.incarnation.up=1&dot.thrash_bear.remains<=2)|talent.rend_and_tear.enabled&dot.thrash_bear.stack<3|talent.rend_and_tear.enabled&equipped.137067&dot.thrash_bear.stack<5|equipped.137056
    maul/mangle/thrash_bear/moonfire,if=buff.galactic_guardian.up/swipe_bear
  Priorities (actions.cat):
    dash,if=buff.cat_form.down/cat_form,if=buff.cat_form.down
    ferocious_bite,if=(combo_points>3&target.time_to_die<3)|(combo_points=5&energy>=50&dot.rip.remains>10)|(dot.rip.ticking&target.health.pct<25&combo_points=5&energy>=50)|(dot.rip.ticking&dot.rip.remains<3&target.health.pct<25)
    rip,if=(!dot.rip.ticking&combo_points=5)|(dot.rip.remains<8&combo_points=5)
    shadowmeld,if=dot.rake.remains<8
    rake,if=dot.rake.remains<8|(combo_points=4&time<10)/shred
  Actions:
    barkskin                     Count=  4.0| 84.28sec  DPE= 219306| 0%  DPET=      0  DPR=   0.0  pDPS=    0
    bear_form                    Count= 23.0| 13.14sec  DPE=      0| 0%  DPET=      0  DPR=   0.0  pDPS=    0
    bear_melee                   Count= 97.7|  3.03sec  DPE=  49577| 4%  DPET=  23899  DPR=   0.0  pDPS=16179  Miss=0.00%  Hit=38743|26558|47426  Crit=79080|54179|96749|26.9%
    brambles                     Count=231.4|  1.29sec  DPE=   9792|22%  DPET=      0  DPR=   0.0  pDPS= 7563  Miss=0.00%  Hit=9792|9792|9792
    brambles_pulse               Count=  0.0|  0.00sec  DPE=      0| 1%  DPET=      0  DPR=   0.0  pDPS= 2914  Miss=0.00%  Hit=13543|13263|16579  Crit=27619|27057|33822|26.9%
    brambles_reflect             Count=231.4|  1.29sec  DPE=  19404| 4%  DPET=      0  DPR=   0.0  pDPS=14986  Miss=0.00%  Hit=15157|14737|18421  Crit=30924|30064|37580|26.9%
    cat_form                     Count= 21.4| 13.69sec  DPE=      0| 0%  DPET=      0  DPR=   0.0  pDPS=    0
    cat_melee                    Count=117.2|  2.54sec  DPE=  37078| 4%  DPET=  44881  DPR=   0.0  pDPS=14521  Miss=0.00%  Hit=29664|21247|30352  Crit=60523|43343|61919|26.9%  Parry=3.0%
    dash                         Count=  2.0|186.73sec  DPE=      0| 0%  DPET=      0  DPR=   0.0  pDPS=    0
    ferocious_bite               Count=  4.2| 43.69sec  DPE= 508152| 2%  DPET= 505981  DPR=   0.0  pDPS= 7175  Miss=0.00%  Hit=410032|64999|464275  Crit=838792|132597|947122|25.8%  Parry=3.0%
    gaseous_bubble               Count=  5.4| 60.06sec  DPE= 396547| 2%  DPET=      0  DPR=   0.0  pDPS= 7205  Miss=0.00%  Hit=309411|301405|376757  Crit=630280|614867|768583|27.2%
    leech                        Count=200.2|  1.84sec  DPE=  35909|70%  DPET=      0  DPR=   0.0  pDPS=24061  Miss=0.00%  Hit=35910|  10|222448
    mangle                       Count= 44.7|  6.60sec  DPE= 258453|10%  DPET= 206239  DPR=   0.0  pDPS=38601  Miss=0.00%  Hit=202117|132556|245989  Crit=412523|270414|501819|26.8%
    maul                         Count= 65.5|  4.49sec  DPE=  55149| 3%  DPET=      0  DPR=2757.4  pDPS=12059  Miss=0.00%  Hit=40147|26237|48690  Crit=81910|53524|99328|35.9%
    moonfire                     Count= 36.0|  8.12sec  DPE= 732740|22%  DPET= 585179  DPR=   0.0  pDPS=87961  Miss=0.00%  Hit=102186|48147|255180  Crit=208443|98220|520567|26.9%  TickCount=177  MissTick=0.0%  Tick=48575|27|59071  CritTick=99079|112|120504|26.9%  UpTime=98.3%
    natures_guardian             Count=200.2|  1.84sec  DPE=   4445| 9%  DPET=      0  DPR=   0.0  pDPS= 2978  Miss=0.00%  Hit=4445|   1|27572
    potion                       Count=  2.0|  0.00sec  DPE=      0| 0%  DPET=      0  DPR=   0.0  pDPS=    0
    potion_of_the_old_war        Count= 23.4|  6.28sec  DPE= 235512| 5%  DPET=      0  DPR=   0.0  pDPS=18651  Miss=0.00%  Hit=185935|121755|217420  Crit=379247|248381|443537|26.7%  Parry=1.1%
    rage_of_the_sleeper          Count=  3.5| 96.64sec  DPE=      0| 0%  DPET=      0  DPR=   0.0  pDPS=    0
    rage_of_the_sleeper_reflect  Count= 26.4|  9.62sec  DPE= 172703| 4%  DPET=      0  DPR=   0.0  pDPS=15229  Miss=0.00%  Hit=172703|172703|172703
    rake                         Count= 21.0| 14.82sec  DPE= 623466|11%  DPET= 620687  DPR=   0.0  pDPS=43797  Miss=0.00%  Hit=86901|56451|161288  Crit=177460|115159|329027|25.9%  Parry=3.0%  TickCount=96  MissTick=0.0%  Tick=88616|28|170965  CritTick=180857|58|348769|26.9%  UpTime=94.1%
    rip                          Count=  9.4| 26.14sec  DPE=1385928|11%  DPET=1379825  DPR=   0.0  pDPS=43262  Miss=0.00%  Parry=100.0%  TickCount=135  MissTick=0.0%  Tick=75072|765|91125  CritTick=153169|8923|185895|26.9%  UpTime=90.0%
    shred                        Count= 47.8|  6.27sec  DPE= 194217| 8%  DPET= 193348  DPR=   0.0  pDPS=31029  Miss=0.00%  Hit=156588|106319|160997  Crit=319361|216890|328434|26.0%  Parry=3.0%
    swipe_bear                   Count=  5.6| 47.80sec  DPE= 121863| 1%  DPET= 102550  DPR=   0.0  pDPS= 2291  Miss=0.00%  Hit=95113|65692|97526  Crit=194392|136640|198954|26.9%
    thrash_bear                  Count= 35.4|  8.39sec  DPE= 323115|10%  DPET= 258928  DPR=   0.0  pDPS=38204  Miss=0.00%  Hit=167289|107515|203511  Crit=341511|219332|415163|26.8%  TickCount=97  MissTick=0.0%  Tick=31010|2672|38394  CritTick=63306|4929|78325|26.9%  UpTime=97.6%
  Constant Buffs: defiled_augmentation/flask_of_the_seventh_demon/seedbattered_fish_plate
  Dynamic Buffs:
    barkskin              : start= 4.0 refresh=  0.0 interval= 84.3 trigger= 84.3 uptime=17.47%  benefit=18%
    bear_form             : start=23.0 refresh=  0.0 interval= 13.1 trigger= 13.1 uptime=62.18%  benefit=62%
    bloodlust             : start= 1.0 refresh=  0.0 interval=  0.0 trigger=  0.0 uptime=13.56%  benefit=43%
    cat_form              : start=23.4 refresh=  0.0 interval= 13.1 trigger= 13.2 uptime=37.82%  benefit=38%
    dash                  : start= 2.0 refresh=  0.0 interval=186.8 trigger=186.8 uptime=10.17%  benefit=10%
    galactic_guardian     : start=36.5 refresh= 44.7 interval=  8.2 trigger=  3.6 uptime=53.13%
    gaseous_bubble        : start= 5.5 refresh=  0.0 interval= 60.4 trigger= 60.4 uptime= 2.02%
    gory_fur              : start= 1.0 refresh=  5.7 interval=  0.0 trigger= 37.9 uptime=85.96%  benefit=86%
    guardian_of_elune     : start= 1.0 refresh= 43.7 interval=225.8 trigger=  6.6 uptime=97.71%  benefit=98%
    mangle                : start=15.3 refresh=  0.0 interval= 18.4 trigger= 18.4 uptime= 6.64%  benefit=34%
    potion_of_the_old_war : start= 2.0 refresh=  0.0 interval=113.5 trigger=  0.0 uptime=16.27%  benefit=16%
    prowl                 : start= 1.0 refresh=  0.0 interval=  0.0 trigger=  0.0 uptime= 0.00%  benefit= 1%
    rage_of_the_sleeper   : start= 3.5 refresh=  0.0 interval= 96.6 trigger= 96.6 uptime=11.38%  benefit=11%
  Procs:
     15.4 |  18.35sec : gore
  Gains:
    7188981.9 : leech             (health)
    2266369.2 : brambles          (health)
    889853.0 : natures_guardian  (health)
       459.8 : bear_form         (rage)
       769.7 : bear_melee        (rage)
       141.7 : thrash_bear       (rage)
       284.8 : mangle            (rage)
        20.2 : rake              (combo_points)  (overflow=1.2%)
        45.8 : shred             (combo_points)  (overflow=1.2%)
      3031.5 : energy_regen      (energy)  (overflow=37.8%)
        73.0 : energy_refund     (energy)
       287.7 : galactic_guardian (rage)
  Waiting: 0.00%
Player: Giant_Ornamental_Pearl_890 tauren druid guardian 110
  DPS: 394498.2  DPS-Error=158.3/0.040%  DPS-Range=31542/8.0%  DPS-Convergence=68.7%
  HPS: 27064.6 HPS-Error=47.2/0.2%
  DPR=61496.5  RPS-Out=6.4 RPS-In=6.4  Resource=(rage) Waiting=0.0 ApM=66.1
  DTPS: 1919026.0  DTPS-error=1341.1/0.1% 
  TMI: 1712905.4  TMI-error=3251.9/0.2%  TMI-min=1283838.3  TMI-max=2707813.0 
  Origin: https://us.api.battle.net/wow/character/wyrmrest-accord/vorem/advanced
  Talents: http://us.battle.net/wow/en/tool/talent-calculator#Ub!0010210
  Artifact: 57:0:0:0:0:948:3:949:3:950:3:951:3:952:3:953:3:954:3:955:3:956:3:957:1:958:1:959:1:960:1:961:1:962:1:979:1:1334:1:1366:20
  Core Stats:    strength=4726|4401(4401)  agility=32695|31070(31070)  stamina=15837|15837(10604)  intellect=7651|7326(7326)  spirit=0|0(0)  health=950220|1068000  mana=704000|704000
  Generic Stats: mastery=12.40%|12.40%(6716)  versatility=15.81%|15.03%(7137)  leech=0.00%|0.00%(0)  runspeed=10.15%|8.05%(0)
  Spell Stats:   power=48960|46527(0)  hit=15.00%|15.00%(0)  crit=26.87%|26.87%(6748)  haste=16.00%|16.00%(6000)  speed=16.00%|16.00%  manareg=0|0(0)
  Attack Stats:  power=40800|38772(0)  hit=7.50%|7.50%(0)  crit=26.87%|26.87%(6748)  expertise=7.50%/7.50%|7.50%/7.50%(0)  haste=16.00%|16.00%(6000)  speed=16.00%|16.00%
  Defense Stats: armor=0|0(0) miss=3.00%|3.00%  dodge=26.89%|26.22%(0)  parry=0.00%|0.00%(0)  block=0.00%|0.00%(0) crit=0.00%|0.00%  versatility=7.91%|7.51%(7137)
  Priorities (actions.precombat):
    flask,type=flask_of_the_seventh_demon/food,type=seedbattered_fish_plate
    augmentation,type=defiled/cat_form/prowl/snapshot_stats/potion,name=old_war
  Priorities:
    auto_attack/use_item,slot=trinket1
    potion,name=old_war,if=buff.rage_of_the_sleeper.up
    call_action_list,name=cat,if=(cooldown.thrash_bear.remains>0&cooldown.mangle.remains>0&buff.rage_of_the_sleeper.down&buff.incarnation.down&buff.galactic_guardian.down)|(buff.cat_form.up&energy>20)|(dot.rip.ticking&dot.rip.remains<3&target.health.pct<25)
    call_action_list,name=bear
  Priorities (actions.bear):
    bear_form/incarnation/barkskin,if=talent.brambles.enabled
    berserking,if=buff.rage_of_the_sleeper.up
    moonfire,if=!dot.moonfire.ticking&(talent.incarnation.enabled|talent.soul_of_the_forest.enabled)
    lunar_beam,if=(dot.rip.remains>10&buff.bear_form.up)
    rage_of_the_sleeper,if=(dot.rip.remains>10&buff.bear_form.up)
    thrash_bear,if=(buff.incarnation.up=1&dot.thrash_bear.remains<=2)|talent.rend_and_tear.enabled&dot.thrash_bear.stack<3|talent.rend_and_tear.enabled&equipped.137067&dot.thrash_bear.stack<5|equipped.137056
    maul/mangle/thrash_bear/moonfire,if=buff.galactic_guardian.up/swipe_bear
  Priorities (actions.cat):
    dash,if=buff.cat_form.down/cat_form,if=buff.cat_form.down
    ferocious_bite,if=(combo_points>3&target.time_to_die<3)|(combo_points=5&energy>=50&dot.rip.remains>10)|(dot.rip.ticking&target.health.pct<25&combo_points=5&energy>=50)|(dot.rip.ticking&dot.rip.remains<3&target.health.pct<25)
    rip,if=(!dot.rip.ticking&combo_points=5)|(dot.rip.remains<8&combo_points=5)
    shadowmeld,if=dot.rake.remains<8
    rake,if=dot.rake.remains<8|(combo_points=4&time<10)/shred
  Actions:
    barkskin                     Count=  4.0| 84.29sec  DPE= 219665| 0%  DPET=      0  DPR=   0.0  pDPS=    0
    bear_form                    Count= 23.0| 13.14sec  DPE=      0| 0%  DPET=      0  DPR=   0.0  pDPS=    0
    bear_melee                   Count= 97.7|  3.03sec  DPE=  49584| 4%  DPET=  23903  DPR=   0.0  pDPS=16182  Miss=0.00%  Hit=38763|26569|47444  Crit=79051|54200|96785|26.9%
    brambles                     Count=231.5|  1.29sec  DPE=   9792|22%  DPET=      0  DPR=   0.0  pDPS= 7564  Miss=0.00%  Hit=9792|9792|9792
    brambles_pulse               Count=  0.0|  0.00sec  DPE=      0| 1%  DPET=      0  DPR=   0.0  pDPS= 2918  Miss=0.00%  Hit=13547|13269|16586  Crit=27622|27068|33835|26.9%
    brambles_reflect             Count=231.5|  1.29sec  DPE=  19402| 4%  DPET=      0  DPR=   0.0  pDPS=14985  Miss=0.00%  Hit=15163|14743|18428  Crit=30933|30075|37594|26.9%
    cat_form                     Count= 21.4| 13.69sec  DPE=      0| 0%  DPET=      0  DPR=   0.0  pDPS=    0
    cat_melee                    Count=117.2|  2.54sec  DPE=  37073| 4%  DPET=  44876  DPR=   0.0  pDPS=14519  Miss=0.00%  Hit=29681|21255|30364  Crit=60549|43360|61943|26.8%  Parry=3.0%
    dash                         Count=  2.0|186.76sec  DPE=      0| 0%  DPET=      0  DPR=   0.0  pDPS=    0
    ferocious_bite               Count=  4.2| 43.67sec  DPE= 509802| 2%  DPET= 507604  DPR=   0.0  pDPS= 7205  Miss=0.00%  Hit=410289|65023|464453  Crit=836155|132648|947484|26.2%  Parry=2.9%
    gaseous_bubble               Count=  5.4| 60.05sec  DPE= 414022| 2%  DPET=      0  DPR=   0.0  pDPS= 7524  Miss=0.00%  Hit=324300|315979|394973  Crit=660978|644596|805745|26.7%
    leech                        Count=200.1|  1.84sec  DPE=  35964|70%  DPET=      0  DPR=   0.0  pDPS=24083  Miss=0.00%  Hit=35964|  10|233293
    mangle                       Count= 44.7|  6.60sec  DPE= 258902|10%  DPET= 206605  DPR=   0.0  pDPS=38661  Miss=0.00%  Hit=202240|132606|246083  Crit=412499|270517|502010|26.9%
    maul                         Count= 65.5|  4.49sec  DPE=  55114| 3%  DPET=      0  DPR=2755.7  pDPS=12050  Miss=0.00%  Hit=40164|26248|48709  Crit=81895|53545|99366|35.8%
    moonfire                     Count= 36.0|  8.12sec  DPE= 732096|22%  DPET= 584702  DPR=   0.0  pDPS=87941  Miss=0.00%  Hit=102339|48166|255278  Crit=208040|98258|520766|26.8%  TickCount=177  MissTick=0.0%  Tick=48588|82|59093  CritTick=99126|1454|120550|26.9%  UpTime=98.3%
    natures_guardian             Count=200.1|  1.84sec  DPE=   4452| 9%  DPET=      0  DPR=   0.0  pDPS= 2981  Miss=0.00%  Hit=4452|   1|28917
    potion                       Count=  2.0|  0.00sec  DPE=      0| 0%  DPET=      0  DPR=   0.0  pDPS=    0
    potion_of_the_old_war        Count= 23.3|  6.33sec  DPE= 235207| 5%  DPET=      0  DPR=   0.0  pDPS=18613  Miss=0.00%  Hit=185995|121802|217503  Crit=379632|248475|443706|26.4%  Parry=1.1%
    rage_of_the_sleeper          Count=  3.5| 96.52sec  DPE=      0| 0%  DPET=      0  DPR=   0.0  pDPS=    0
    rage_of_the_sleeper_reflect  Count= 26.4|  9.59sec  DPE= 172769| 4%  DPET=      0  DPR=   0.0  pDPS=15252  Miss=0.00%  Hit=172769|172769|172769
